LPI.common.name,GBIF.common.name,species,downloader,data.available,geographic.range,hab_spec,IUCN,hab_spec_notes
Eurasian wigeon,Eurasian wigeon,Mareca penelope,John,Yes,World,8,LC,"This species breeds in lowland freshwater marshes, slow-flowing large rivers (Kretchmar 1994)Œæand shallow lakes and lagoons with ample submerged, floating and emerging vegetation (Kear 2005b). Ideal wetland habitats for this species are those surrounded by sparse open forest, woodland and especially agricultural land (Kretchmar 1994, Kear 2005b), in the boreal and subarctic zone (Cramp and Simmons 1977, Kear 2005b). It avoids tundra, densely forested and mountainous country, as well as fast flowing rivers and streams, but tolerates saline or alkaline steppe lakes and wetlands (Cramp and Simmons 1977, Madge and Burn 1988).ŒæNon-breedingŒæIn the non-breeding season this species shows a preference for coastal salt-marshes, freshwater, brackish and saline lagoons (Cramp and Simmons 1977), flooded grasslands (Cramp and Simmons 1977), estuaries, intertidal mudflats (Cramp and Simmons 1977), and other sheltered marine habitats (Kear 2005b).Œæ"
Eurasian woodcock,Eurasian woodcock,Scolopax rusticola,John,Yes,partWorld,8,LC,"ŒæThe distribution of earthworms is an important habitat characteristic for the species throughout the year (Johnsgard 1981).ŒæBreedingŒæFor breeding the species requires extensive unfragmented areas (HaymanŒæet al.Œæ1986, del HoyoŒæet al.Œæ1996) of broadleaved deciduous or mixed broadleaved/coniferous forest (Johnsgard 1981) containing a dense undergrowth of shrubs and ground cover (Lutz and Pagh JensenŒæin prep) (e.g. of bramblesŒæRubus spp., hollyŒæIlex aquifolium, hazelŒæCorylus avellana, gorseŒæUlexŒæspp., brackenŒæPteridiumŒæspp. or bilberryŒæVaccinium myrtillus) (del HoyoŒæet al.Œæ1996, Lutz and Pagh JensenŒæin prep) and with a mosaic (del HoyoŒæet al.Œæ1996) of dry, warm resting places, moist areas for foraging (Johnsgard 1981, HaymanŒæet al.Œæ1986) (e.g. streams, springs or damp, swampy patches) (del HoyoŒæet al.Œæ1996), and clearings or other open areas as flight paths (Johnsgard 1981, HaymanŒæet al.Œæ1986). The species may also nest in swampy forests with mossy ground, brooks and other watercourses or alternatively in coniferous forest with moist leaf litter and an undergrowth of broadleaved shrubs and ferns (Johnsgard 1981).ŒæNon-breedingŒæThe species's habitats requirements during the daylight hours of the non-breeding season are similar to its breeding habitat requirements but are less restricted (del HoyoŒæet al.Œæ1996). As well as extensive broadleaved or mixed broadleaved/coniferous forest (Johnsgard 1981) the species will also occupy young conifer plantations (del HoyoŒæet al.Œæ1996), hedges with high densities of trees and shrubs (DuriezŒæet al.Œæ2005b), smaller woods, areas of scrub (HaymanŒæet al.Œæ1986) and coppiced habitats with coppice of between 7 and 20 years old (del HoyoŒæet al.Œæ1996). It still shows a strong preference for woodlands with rich (e.g. mull) humus types that have high earthworm biomasses, and a dense shrub strata however (DuriezŒæet al.Œæ2005b). At night during this season the species gathers to roost and feed in damp, earthworm-rich, permanent grasslands (HaymanŒæet al.Œæ1986, del HoyoŒæet al.Œæ1996, DuriezŒæet al.Œæ2005b) sometimes 3-4 km away from woodland areas used for cover during the day (HaymanŒæet al.Œæ1986), showing a preference for grazed meadows compared to cultivated fields (as the latter contain higher earthworm biomasses) (DuriezŒæet al.Œæ2005b). The species may also feed on intertidal mud during freezing weather (HaymanŒæet al.Œæ1986)."
European badger,European badger,Meles meles,John,Yes,partWorld,8,LC,"In Europe EurasianŒæBadger prefers deciduous woods with clearings, or open pastureland with small patches of woodland. It is also found in mixed and coniferous woodland, scrub, suburban areas and urban parks. In south-east Uzbekistan,ŒæwhereŒæM. m. canescensŒæandŒæM. leucurusŒæare sympatric,Œæthe two forms differŒæsubstantiallyŒæin their biotope preferences:ŒæM. m. canescensŒæoccupies mountain biotopes whereasŒæM. leucurusŒæinhabits plains and semi-deserts (A. V. Abramov pers. comm. 2014).Œæ"
European eel,European eel,Anguilla anguilla,John,Yes,partWorld,5,CR,"The species is found in a range of habitats from small streams to large rivers and lakes, and in estuaries, lagoons and coastal waters. Under natural conditions, it only occurs in water bodies that are connected to the sea; it is stocked elsewhere."
European goldfinch,European goldfinch,Carduelis carduelis,John,Yes,partWorld,15,LC,"This species inhabits open or sparse deciduous woodland and mixed deciduous and conifer woods, forest edges, thickets, heaths, hedgerows, streams, riverine and marshy areas with bushes and trees, roadside verges, steppe grasslands with scattered trees to edges of semi-desert areas, scrub, orchards, edges of cultivation and parks and gardens. Breeding occurs from April to early August."
European hare / Brown hare,European hare / Brown hare,Lepus europaeus,John,Yes,partWorld,1,LC,"Lepus europaeusŒæis a highly adaptable species that can persist in any number of habitat types (Flux and Angermann 1990). There is a positive association with hare abundance and habitat density and diversity (SmithŒæet al.Œæ2005). When available, weeds and wild grasses are selected by L. europaeus; however, intensified agro-practices have reduced this food source resulting in the selection of crop species (ReichlinŒæet al. 2006)."
European rabbit,European rabbit,Oryctolagus cuniculus,John,Yes,World,4,NT,"Oryctolagus cuniculusŒæprefers a mixed habitat of Mediterranean oak savanna or scrub-forest, or areas with around 40% cover for shelter from predators and open areas that support their diet of grasses and cereals (Thompson and King 1994; Ward 2005).ŒæO. cuniculusŒæbuilds warrens in soft soil, but find shelter in scrub in rocky areas, though predation risk is higher in above ground dwellings. The natural range of the Iberian peninsula and northern Africa is warm and dry (Angulo 2003), rarely occurring above 1,500 m (FaŒæet al.Œæ1999)."
European roe deer,European roe deer,Capreolus capreolus,John,Yes,Europe,9,LC,"It occupies a wide variety of habitats, including deciduous, mixed or coniferous forests, moorland, pastures, arable land, and suburban areas with large gardens. It prefers landscapes with a mosaic of woodland and farmland (Stubbe 1999) but can survive in semi-desert environments and above the tree line seasonally. Roe Deer are well adapted to modern agricultural landscapes (AndersenŒæet al.Œæ1998, Danilkin 1996, Sempí©rí©Œæet al.Œæ1996)."
European shag,European shag,Phalacrocorax aristotelis,John,Yes,partWorld,4,LC,"ŒæIt occupies marine habitats but does not usually occur far from land (del HoyoŒæet al.Œæ1992). It shows a strong preference for rocky coasts and islands (del HoyoŒæet al.Œæ1992) with adjacent deep, clear water (Nelson 2005), and forages over sandy and rocky seabeds (del HoyoŒæet al.Œæ1992). It also prefers sheltered fishing grounds such as bays and channels, although it generally avoids estuaries, shallow or muddy inlets and fresh or brackish waters (Wanless and Harris 1997)."
European sprat,European sprat,Sprattus sprattus,John,Yes,partWorld,NA,NA,"No material on IUCN red list, looks like lots of reclassification"
European storm-petrel,European storm-petrel,Hydrobates pelagicus,John,Yes,partWorld,3,LC,"This is a marine species feeding mainly on small fish, squid and crustaceans, but it will also feed on medusae and offal. It feeds mainly on the wing by pattering and fishing, and will occaisionally follow ships and attend trawlers. Breeding starts in May and June, resulting in the formation of colonies on rocky ground on offshore islands and stacks that are largely free of mammalian predators (del HoyoŒæet al. 1992)."
European turtle-dove,European turtle-dove,Streptopelia turtur,John,Yes,partWorld,8,VU,"The species uses aŒæwide variety of woodland types, as well as steppe and semi-desert (BaptistaŒæet al. 2015). ItŒæuses hedges, borders of forest, groves, spinneys, coppices, young tree plantations, scrubby wasteland, woody marshes, scrub and garigue, all with agricultural areas nearby for feeding (Tucker and Heath 1994). It tolerates humans but does not breed close to towns or villages (BaptistaŒæet al. 2015). It generally breeds at low altitudes not exceeding 500 m in the temperate zone and up to 1,000-1,300 m in Mediterranean areas (Tucker and Heath 1994)."
Flounder / brill,Flounder / brill,Scophthalmus rhombus,John,no_download,partEurope,NA,NA,NA
Fulmar / Northern fulmar,Fulmar / Northern fulmar,Fulmarus glacialis,John,Yes,partWorld,3,LC,"This species typically breeds on cliffs and rock faces, but also occasionally on flatter ground sometimes up to 1 km inland. It will also breed near human habitation, sometimes even on occupied houses along the seafront of towns"
Gadwall,Gadwall,Anas strepera,John,Yes,partWorld,6,LC,"The species inhabits highly productive (del HoyoŒæet al.Œæ1992, Kear 2005b) and eutrophic (Snow and Perrins 1998) freshwater marsh or lake habitats (del HoyoŒæet al.Œæ1992, Kear 2005b) in open lowland grassland (Johnsgard 1978, Madge and Burn 1988), showing a preference for sheltered, shallow, standing or slow-flowing waters (Snow and Perrins 1998) with abundant emergent vegetation (Johnsgard 1978, del HoyoŒæet al.Œæ1992, Snow and Perrins 1998, Kear 2005b) and grass-covered islands providing cover for nesting (Johnsgard 1978, del HoyoŒæet al.Œæ1992, Snow and Perrins 1998). It may also be found on permanent, shallow, slightly alkaline marshes (Johnsgard 1978, del HoyoŒæet al.Œæ1992), as well as on oxbow lakes, channels (FlintŒæet al.Œæ1984), reservoirs and gravel-pits (Kear 2005b). After hatching, females move their broods to deeper marshes or to the edges of large impoundments, sometimes more than 1 mile away from the nesting sites (Johnsgard 1978). Rarely (e.g. in the winter) (Madge and Burn 1988) the species occurs along sheltered coasts (del HoyoŒæet al.Œæ1992, Scott and Rose 1996) at coastal marshes (North America) (Kear 2005b), estuaries (FlintŒæet al.Œæ1984, Madge and Burn 1988, Snow and Perrins 1998), deltas or lagoons (Snow and Perrins 1998)."
Garden warbler,Garden warbler,Sylvia borin,John,Yes,partWorld,8,LC,"During the breeding season it inhabits dense bushes, woodland fringes and riparian forest with abundant undergrowth. It favours shady zones with herbaceous vegetation and broadleaf scrub and also often bushes close to reedbeds. In the Alps it occurs in stands of green alder (Alnus viridis) and birch (Betula) and various willows (Salix). In central Europe it prefers the presence of hawthorn (Crataegus monogyna) and blackthorn (Prunus spinosa), and in Finland is associated with raspberry (Rubus idaeus). In Britain it is abundant in areas of sessile oak (Quercus petraea).ŒæIn its African non-breeding range it uses woods, forest edge, orchards and gardens, sometimes entering forest when fruits are available. It also occupies savanna and dry zones with dense thicket vegetation, e.g. acacia (Acacia) and brachystegia (Brachystegia) woodlands. It avoids closed forest, but can enter open montane forest at up to 2,600 m, although it prefers lower altitudes.ŒæBreeding occurs from April to July."
Garganey,Garganey,Anas querquedula,John,Yes,partWorld,7,LC,"the breeding season this species frequents small, shallow ponds and lakes with abundant floating, emergent and fringing vegetation (Johnsgard 1978, de Hoyo.Œæ1992) (that is not too tall or dense, such as bulrush -ŒæTypha spp.) (Cramp and Simmons 1977, Green 1998), in grass dominated environments, like swampy meadows, flooded fields, shallow freshwater marshes (Johnsgard 1978, de Hoyo.Œæ1992, Schricke 2001).ŒæNon-breedingŒæDuring this season the species shows a preference for large freshwater or occasionally brackish lakes, again with abundant floating, emergent and fringing vegetation (Kear 2005b), also shallow flood plains, shallow dams, pans and sewage ponds (in South Africa) (HockeyŒæet al.Œæ2005). The species also frequents coastal saltmarshes and lagoons on passage (de Hoyo.Œæ1992) and may spend the day resting on marine inshore waters when migrating (Madge and Burn 1988)."
Golden eagle,Golden eagle,Aquila chrysaetos,John,Yes,partWorld,2,LC,"The species occupies a wide range of flat or mountainous, largely open habitats, often above the tree line, from sea level to 4000m. In the Himalayas it has been recorded as high as 6200m (Watson, 2010)."
Grass snake,Grass snake,Natrix natrix,John,Yes,partWorld,NA,LC,No material on IUCN red list
Common smoothound,Gray mouth dog / Houndshark / Common smoothound,Mustelus mustelus,John,yes,NA,4,VU,"This demersal coastal species is found on the continental shelves and uppermost slopes, from the intertidal to at least 350 m depth, but usually in shallow waters from 5-50 m on sandy and muddy substrates (Bauchot 1987, Zamboni 1999, Serena 2005, Notarbartolo and Bianchi 1998, Compagno et al. 2005). Reproduction is viviparous with yolk-sac placenta."
Great bittern / European bittern,Great bittern / European bittern,Botaurus stellaris,John,Yes,partWorld,7,LC,"The species has highly restrictive breeding habitat requirements (del Hoyo et al. 1992). It shows a strong preference for quiet lowland marshes around lakes and rivers (less than 200 m above sea-level) (Kushlan and Hancock 2005) with extensive dense young reedbeds of Phragmites spp. (e.g. with 1- 3 years worth of new growth (Marion et al. 2000, Puglisi et al. 2005) but still maintaining some old or dead stems (del Hoyo et al. 1992)) that are flooded but are fairly shallow (del Hoyo et al. 1992) (less than 30 cm deep) (Newbery et al. 1996), have few fluctuations in water-level (del Hoyo et al. 1992), have low acidity (Kushlan and Hancock 2005)and are surrounded by clear open areas (del Hoyo et al. 1992) of deeper water is maintained into the driest part of the breeding season (Gilbert et al. 2005). Breeding adults are more attracted to unfragmented (Puglisi et al. 2005) reedbeds over 20 ha in area, although smaller sites with networks of reed-fringed waterways or open wetland habitats with a number of small reedbeds (Newbery et al. 1996) (greater than 100 m) (Gilbert et al. 2005) over a wide area may also be used (Newbery et al. 1996). The species avoids saline waters (Kushlan and Hancock 2005) but is equally abundant in fresh or brackish habitats (del Hoyo et al. 1992) (e.g. in estuarine or delta marshes) (Snow and Perrins 1998), and may occasionally nest in stands of rushes Scirpus spp. (del Hoyo et al. 1992) or Papyrus spp. if reeds are unavailable (Kushlan and Hancock 2005). Non-breeding The species frequents a more varied range of habitats outside of breeding season, foraging on rice-fields, watercress beds, gravel pits, fish farms, ditches, sewage farms (del Hoyo et al. 1992), small ponds and wet grassy areas (Kushlan and Hancock 2005) as well as marshes and reedbeds (del Hoyo et al. 1992). It also forages in running water (e.g. streams) when still waterbodies freeze during the winter (Hancock and Kushlan 1984). Diet Its diet varies depending on the site and season although it predominantly takes fish (particularly cyprinids and eels) and amphibians as well as adult and larval insects, spiders, crustaceans, molluscs, snakes, lizards, birds, nestlings and small mammals (del Hoyo et al. 1992). Breeding site The nest is a pad of reeds and other vegetation (Kushlan and Hancock 2005) constructed close to or floating on water (del Hoyo et al. 1992) amidst dense reedbeds (del Hoyo et al. 1992, Kushlan and Hancock 2005). Although it is a solitary nester, breeding densities from 2 per 100 ha to 100 per 100 ha may occur depending on the quality of the habitat (Kushlan and Hancock 2005), nests sometimes being placed close together in areas where the species is particularly numerous (Hancock and Kushlan 1984). "
Great black-backed gull,Great black-backed gull,Larus marinus,John,Yes,partWorld,10,LC,"The species inhabits rocky or sandy coasts, estuaries and inshore and offshore waters, breeding on vegetated islands, dunes, flat-topped stacks, rocky shores (del HoyoŒæet al.Œæ1996), flat beaches (Snow and Perrins 1998) and islands in saltmarsh (del HoyoŒæet al.Œæ1996). The species may also breed on undisturbed inland sites including islets in large freshwater lakes and rivers (Snow and Perrins 1998), fields and open moorland (del HoyoŒæet al.Œæ1996)."
Great cormorant / Cormorant,Great cormorant / Cormorant,Phalacrocorax carbo,John,Yes,partWorld,11,LC,"ŒæThe species frequents both coastal and inland habitats (BrownŒæet al. 1982, del HoyoŒæet al.Œæ1992, Johnsgard 1993, Snow and Perrins 1998, Nelson 2005). In marine environments it occurs in sheltered coastal areas on estuaries (del HoyoŒæet al.Œæ1992), saltpans, coastal lagoons (del HoyoŒæet al.Œæ1992, Johnsgard 1993), mangrove swamps, deltas (Johnsgard 1993) and coastal bays (BrownŒæet al. 1982), requiring rocky shores, cliffs and islets for nesting (del HoyoŒæet al.Œæ1992) but generally avoiding deep water and rarely extending far offshore (Snow and Perrins 1998). It also inhabits fresh, brackish or saline inland wetlands (Nelson 2005) including lakes, reservoirs, wide rivers, flood waters (del HoyoŒæet al.Œæ1992), deep marshes with open water, swamps and oxbow lakes (Johnsgard 1993), requiring trees, bushes, reedbeds or bare ground for nesting (del HoyoŒæet al.Œæ1992) and avoiding overgrown, small, very shallow or very deep waters (Nelson 2005)."
Great crested newt,Great crested newt,Triturus cristatus,John,Yes,Europe,12,LC,"It can be found in coniferous, mixed and deciduous forests (composed of pine, birch, oak, alder etc.), their glades and edges, in forest steppe, bush lands, pastures, meadows, parks and gardens. Reproduction in permanent stagnant and in semi-flowing waters such as ponds, rarely lakes, flooded quarries, irrigation channels and ditches. The usage of small ponds is typical across the range. It can be found in modified habitat types, but this species is not considered to be very adaptable."
Great skua,Great skua,Catharacta skua,John,Yes,partWorld,2,LC,"This marine species avoids land during migration and winter, aggregating in winter in areas where it can scavenge from fisheries. It has a hugely varied diet owing to be being a highly opportunistic feeder. Individuals regularly show individual specialisations in diet and feeding with some colony-specific learning. Breeding begins in May, and it is loosely colonial but highly territorial, breeding on islands on flat ground with some vegetation cover, usually avoiding human contact. Most birds breed within 1 km of their birth place (del HoyoŒæet al.Œæ1996)."
Great spotted woodpecker,Great spotted woodpecker,Dendrocopos major,John,Yes,partWorld,7,LC,"This species uses all kinds of woodland and forest, from pure broadleaved forest to unmixed stands of conifers. It is also common in copses, tree avenues, parks and gardens. It uses olive and poplar (Populus) plantations and up to cedar (Cedrus), pine (Pinus), pine-oak and cork oak (Quercus suber) woods in North Africa. It is found in alder (Alnus) and rhododendron in northern Myanmar and common in deciduous, mixed or coniferous woods and parks in Japan (WinklerŒæet al. 2015). Egg-laying is from mid-April to June (later in the far north and at higher altitudes).Œæ"
Great tit,Great tit,Parus major,Claudia,Yes,partWorld,10,LC,"This species occupies mostly open deciduous and mixed forests and edges and clearings in dense forest, including conifer forests and boreal taiga. It is also found more widely in plantations, hedgerows, orchards, parks, gardens, the edges of cultivation, olive groves and almost any group of trees or bushes (GoslerŒæet al.Œæ2013). Egg-laying is generally late January to September (GoslerŒæet al.Œæ2013), in Europe, laying begins in March to April in southern lowlands and in May in the north but over most of Europe it begins in April (Snow and Perrins 1998)."
Great-crested grebe,Great-crested grebe,Podiceps cristatus,Claudia,Yes,partWorld,13,LC,"The species breeds on fresh or brackish waters with abundant emergent and submerged vegetation (del HoyoŒæet al.Œæ1992, Snow and Perrins 1998), showing a preference for non-acidic eutrophic waterbodies with flat or sloping banks and muddy or sandy substrates (Snow and Perrins 1998), usually 0.5-5 m deep (Snow and Perrins 1998) and with large areas of open water (del HoyoŒæet al.Œæ1992). Suitable habitats include small pools or lakes, backwaters of slow-flowing rivers and artificial waterbodies (e.g. reservoirs, fish-ponds, gravel pits and ornamental lakes) (del HoyoŒæet al.Œæ1992). In Australia the species also utilises swamps, reservoirs, lagoons, salt-fields, estuaries and bays (Marchant and Higgins 1990), and in tropical Africa and New Zealand it may breed on montane, subalpine and alpine lakes up to 3,000 m (del HoyoŒæet al.Œæ1992).ŒæNon-breedingŒæThe species overwinters on large exposed ice-free (Fjeldsa 2004) lakes and reservoirs (del HoyoŒæet al.Œæ1992, Snow and Perrins 1998), moving to sheltered coastal inshore waters (Snow and Perrins 1998) less than 10 m deep (Fjeldsa 2004) such as brackish estuaries (del HoyoŒæet al.Œæ1992, Snow and Perrins 1998), deltas, tidal channels and tidal lagoons (Snow and Perrins 1998) during cold spells (Fjeldsa 2004). In addition it frequents large saline lakes in Australia (Marchant and Higgins 1990)."
Greater horseshoe bat,Greater horseshoe bat,Rhinolophus ferrumequinum,Claudia,Yes,partWorld,7,LC,"It forages in pastures, deciduous temperate woodland, Mediterranean and sub-mediterranean shrubland and woodland. Important foraging habitat and landscape features includes woodland, particularly early in the year, and permanent summer-grazed pasture, particularly late in the summer. It feeds on beetles, moths and other insects at low level in pastures and in trees up to 2 to 3 km from the roost each night (by aerial hawking or perch feeding). Summer roosts are located in warm natural and artificial underground sites, and attics in the northern part of the range. The species will use caves all year, but particularly in northern Europe it uses buildings for summer maternity colonies. Where the species occupies buildings, it requires particular features of the building itself, as well as proximity to good foraging areas and underground sites for torpor at various times of year and for winter hibernation (HutsonŒæet al.Œæ2001). In winter it hibernates in cold underground sites (usually large caves). The requirements for hibernation appear to be within limited confines of temperature and humidity, but vary with age, sex and condition.Œæ"
Greater scaup,Greater scaup,Aythya marila,Claudia,Yes,partWorld,6,LC,"BreedingŒæThe species breeds in tundra (Kear 2005b), wooded tundra (Scott and Rose 1996)Œæand moorland regions (Kear 2005b)Œæin the high Arctic (del HoyoŒæet al. 1992), occupying small, shallow (del HoyoŒæet al. 1992), freshwater lakes, pools and rivers (Kear 2005b)Œæwith grassy shorelines and high densities of invertebrate life (Johnsgard 1978). It shows a preference for water less than 6 m deep (usually 2 m) for diving (Kear 2005b).ŒæNon-breedingŒæThe species winters on shallow coastal waters (del HoyoŒæet al. 1992, Kear 2005b)Œæless than 10 m deep (Scott and Rose 1996)(especially in the vicinity of sewage outlets) (del HoyoŒæet al. 1992), as well as sheltered bays (del HoyoŒæet al. 1992), estuaries (del HoyoŒæet al. 1992, Kear 2005b)Œæand brackish coastal lagoons (del HoyoŒæet al. 1992). It is also found inland on large lakes (Johnsgard 1978, del HoyoŒæet al. 1992, Kear 2005b)Œæand reservoirs during this season (Madge and Burn 1988)."
Greater white-fronted goose / White-fronted goose,Greater white-fronted goose / White-fronted goose,Anser albifrons,Claudia,Yes ,World,9,LC,"BreedingŒæThe species breeds in open (del HoyoŒæet al. 1992), low-lying, shrubby tundra (Snow and Perrins 1998) on the coast and inland (del HoyoŒæet al. 1992), in close proximity to marshes, lakes, pools, rivers (del HoyoŒæet al. 1992, Snow and Perrins 1998), and willow- and shrub-lined ponds and streams (Johnsgard 1978). It requires dry slopes, banks, mounds, hummocks or patches of sand or clay for nesting sites, especially those commanding good views of the surrounding area (Snow and Perrins 1998).ŒæNon-breedingŒæThe species winters in open country on steppe and agricultural land (del HoyoŒæet al. 1992) (e.g. improved grassland, stubble fields (Madge and Burn 1988) and wet meadows (Johnsgard 1978)), or in brackish (Kear 2005a) and freshwater marshy habitats (del HoyoŒæet al. 1992) (such as upland bogs (Madge and Burn 1988), peatlands (Scott and Rose 1996) and floodlands (Kear 2005a)). It may also roost on tidal marshes, in sheltered bays or in estuaries and frequents inland lakes and reservoirs in North America (Kear 2005a)."
Greater whitethroat / Common Whitethroat,Greater whitethroat / Common Whitethroat,Sylvia communis,John,yes,NA,8,LC,"occupies open country in a wide variety of landscapes, mostly sunlit areas with scattered bushes and shrubs close to grassy patches. It breeds in plantation clearings, orchards, hedgerows along roads or railway lines, shrubs near watercourses, pastures with junipers (Juniperus) and in steppes. It is also found in hedges around field crops, especially those of appropriate height such as cereals or lucerne (Medicago)."
Green woodpecker / Eurasian green woodpecker,Green woodpecker / Eurasian green woodpecker,Picus viridis,Claudia,Yes ,partWorld,6,LC,"This species uses a great variety of semi-open habitats. It is confined to larger open sections or clearings in extensively wooded areas, forest edges, copses, parks, orchards and residential areas, usually near mature deciduous trees, but often associated with conifers in mountains and in the north. Laying occurs from early April to June and clutches are usually five to eight eggs. The nest is excavated in dead or soft, living wood in unbroken trees. It feeds predominantly on ants with larger ant species generally preferred. Other insects are also taken, as are earthworms and snails and occasionally reptiles, fruits, berries and seeds. The species is resident, although some local winter movements occur (Winkler and Christie 2015)."
Greenshank / Common greenshank,Greenshank / Common greenshank,Tringa nebularia,Claudia,Yes ,World,12,LC,"breeds in the boreal forest zone from sea level to 1,200 m in Norway (Johnsgard 1981, Snow and Perrins 1998)(although predominantly up to 450 m) (Snow and Perrins 1998), in swampy forest clearings, woody moorland, open bogs and marshes (including raised and blanket bogs) (del HoyoŒæet al.Œæ1996), and eutrophic lakes with margins of dead and decaying vegetation (Johnsgard 1981). It avoids bare or broken barren expanses, mountain escarpments, and closed forests with very dense, tall vegetation (Snow and Perrins 1998).ŒæNon-breedingŒæIn its wintering grounds this species frequents a variety of freshwater, marine and artificial wetlands, including swamps, open muddy or rocky shores of lakes and large rivers, sewage farms, saltworks, inundated rice-fields (del HoyoŒæet al.Œæ1996), ponds, reservoirs (Snow and Perrins 1998), flooded grasslands (HockeyŒæet al.Œæ2005), saltmarshes, sandy or muddy coastal flats, mangroves, estuaries (del HoyoŒæet al.Œæ1996), lagoonsand pools on tidal reefs (Snow and Perrins 1998) or exposed coral (UrbanŒæet al. 1986), although it generally avoids open coastline (del HoyoŒæet al.Œæ1996). On migration this species occurs on inland flooded meadows, dried-up lakes, sandbars and marshes (del HoyoŒæet al.Œæ1996)."
Grey heron,Grey heron,Ardea cinerea,Claudia,Yes ,World,12,LC," inhabits any kind of shallow water, either fresh, brackish or saline, both standing or flowing, and shows a preference for areas with trees as it is commonly an arboreal rooster and nester. Some degree of isolation and protection are also typical of places chosen for roosting and nesting (Kushlan and Hancock 2005). The species is found inland on broad rivers, narrow streams, lake shores, ornamental ponds, fish-ponds, marshes, flood-plains, reeds swamps, rice-fields and other irrigated areas (BrownŒæet al.Œæ1982, Snow and Perrins 1998, Kushlan and Hancock 2005), river oxbows, reservoirs, ditches, canals, sewage farms, inland deltas, and on islets and emerging rocks (Snow and Perrins 1998). On the coast the species also frequents deltas, salt-marshes, mangroves (BrownŒæet al.Œæ1982, Kushlan and Hancock 2005), estuaries, tidal mudflats, muddy and sandy shores, and sand-spits (Snow and Perrins 1998)."
Grey partridge,Grey partridge,Perdix perdix,Claudia,Yes,partWorld,5,LC,"The following information relates to the species's European range only. It is found in the temperate zone, steppe regions and open arable landscapes (McGowan and Kirwan 2013). Its preferred habitat is open, low-intensity mixed farmland with small fields and hedges on grassy banks (Potts 1986, Birkan and Jacob 1988). It is found in large tracts of grassland, or other ground cover that is only slightly taller than the bird itself with some dense shrubby patches at intervals such as hedgerows. Laying occurs from late April in the U.K., early May to June in central Europe and late May to June in Sweden with re-nesting until August or September (McGowan and Kirwan 2013). It typically lays 15äóñ17 eggs in the first clutch but fewer eggs when re-nesting."
Grey plover / Black-bellied plover,Grey plover / Black-bellied plover,Pluvialis squatarola,Claudia,Yes ,World,14,LC,"BreedingŒæThe species nests in the high Arctic in both upland and valley locations (del HoyoŒæet al.Œæ1996) between the treeline and the coast (Snow and Perrins 1998) , utilising dry stony tundra with sedge, moss, lichen (del HoyoŒæet al.Œæ1996), grass (Johnsgard 1981) or dwarf birch (Snow and Perrins 1998), peat ridges in tundra marshes (Johnsgard 1981), dry exposed ridges, riverbanks, raised sand or gravel beaches, and rocky slopes (Johnsgard 1981).ŒæNon-breedingŒæOutside of the breeding season the species frequents intertidal mudflats, saltmarshes (del HoyoŒæet al.Œæ1996), sandflats (Johnsgard 1981, del HoyoŒæet al.Œæ1996) and beaches (del HoyoŒæet al.Œæ1996) of oceanic coastlines, bays and estuaries (Johnsgard 1981). During migration it may also be found inland on lakes, pools or grasslands (del HoyoŒæet al.Œæ1996)."
Grey seal,Grey seal,Halichoerus grypus,Claudia,Yes,UK,NA,LC,"No specific info, coastal and marine"
Greylag goose,Greylag goose,Anser anser,Claudia,Yes,World,10,LC,"ŒæBreedingŒæDuring the breeding season the species inhabits wetlands surrounded by fringing vegetation in open grassland (del HoyoŒæet al.Œæ1992), sedge or heather moorland (Johnsgard 1978), arctic tundra, steppe or semi-desert from sea-level up to 2,300 m (Snow and Perrins 1998). It nests near streams, saltmarshes (Kear 2005a), river flood-plains, reedy marshes, grassy bogs, damp meadows, reed-lined freshwater lakes and estuaries (Johnsgard 1978) close to potential feeding sites such as meadows, grasslands, stubble fields and newly sown cereal fields (Kear 2005a). It requires isolated islands (Kear 2005a) in lakes (Johnsgard 1978) or on along the coast (Kear 2005a) out of reach of land predators for nesting (Kear 2005a). In the autumn (before migration) the species also frequents agricultural land (e.g. sugar-beet, maize and cereal fields) (Kear 2005a).ŒæNon-breedingŒæIn the winter the species inhabits lowland farmland in open country (Madge and Burn 1988, del HoyoŒæet al.Œæ1992), swamps (del HoyoŒæet al.Œæ1992), lakes (Madge and Burn 1988, del HoyoŒæet al.Œæ1992), reservoirs (Madge and Burn 1988), coastal lagoons (del HoyoŒæet al.Œæ1992) and estuaries (Madge and Burn 1988).ŒæDietŒæThe species is herbivorous, its diet consisting of grass (del HoyoŒæet al.Œæ1992), the roots, shoots, leaves, stems, seedheads and fruits of other herbaceous marsh vegetation (Johnsgard 1978, del HoyoŒæet al.Œæ1992), aquatic plants (Johnsgard 1978), and agricultural grain and potatoes (especially in the winter) (del HoyoŒæet al.Œæ1992)."
Haddock,Haddock,Melanogrammus aeglefinus,Claudia,Yes,partWorld,NA,VU,No material on IUCN red list
Harbour seal,Harbour porpoise,Phoca vitulina,Claudia,Yes,partWorld,4,LC,"Throughout its range,ŒæP. phocoenaŒæis largely limited to continental shelf waters. They frequent relatively shallow bays, estuaries, and tidal channels less than about 200 m in depth. CarrettaŒæet al. (2001) found that the main distribution of porpoises in northern California was in waters of less than 60 m. Dives to at least 220 m have been recorded via telemetry (BjíŸrge and Tolley 2002, OtaniŒæet al. 1998).Œæ"
