"","species"
"1908","Lethrinus nebulosus"
"1909","Epinephelus multinotatus"
"1910","Epinephelus polyphekadion"
"1911","Triakis megalopterus"
"1912","Haploblepharus edwardsii"
"1913","Haploblepharus fuscus"
"1914","Haploblepharus pictus"
"1915","Poroderma africanum"
"1916","Poroderma pantherinum"
"1917","Scyliorhinus capensis"
"1918","Myliobatis aquila"
"1919","Cheilodactylus fasciatus"
"1920","Cheilodactylus pixi"
"1921","Chirodactylus brachydactylus"
"1922","Dichistius capensis"
"1923","Dichistius multifasciatus"
"1924","Neoscorpis lithophilus"
"1925","Acanthistius sebastoides"
"1926","Boopsoidea inornata"
"1927","Cheimerius nufar"
"1928","Chrysoblephus laticeps"
"1929","Cymatoceps nasutus"
"1930","Diplodus hottentotus"
"1931","Gymnocrotaphus curvidens"
"1932","Lithognathus mormyrus"
"1933","Pachymetopon aeneum"
"1934","Pachymetopon blochii"
"1935","Pachymetopon grande"
"1936","Petrus rupestris"
"1937","Sparodon durbanensis"
"1938","Spondyliosoma emarginatum"
"1939","Rhinobatos annulatus"
"1940","Galeichthys ater"
"1941","Galeichthys feliceps"
"1942","Amblyrhynchotes honckenii"
"1943","Eptesicus serotinus"
"1944","Pipistrellus pygmaeus"
"1945","Nyctalus noctula"
"1946","Acanthophis praelongus"
"1947","Pseudechis australis"
"1948","Pseudonaja nuchalis"
"1949","Cryptophis pallidiceps"
"1950","Stegonotus cucullatus"
"1951","Tropidonophis mairii"
"1952","Antaresia childreni"
"1953","Liasis fuscus"
"1954","Calyptorhynchus banksii"
"1955","Lutjanus cyanopterus"
"1956","Phoeniconaias minor"
"1957","Cynoscion arenarius"
"1958","Sterna trudeaui"
"1959","Sarcophilus harrisii"
"1960","Clemmys guttata"
"1961","Sorex vagrans"
"1962","Patagioenas leucocephala"
"1963","Gastrophryne elegans"
"1964","Sternula superciliaris"
"1965","Bathyraja parmifera"
"1966","Emberiza hortulana"
"1967","Hirundo rupestris"
"1968","Mus musculus"
"1969","Pimephales promelas"
"1970","Margariscus margarita"
"1971","Marmota broweri"
"1972","Zebrasoma flavescens"
"1973","Ctenochaetus strigosus"
"1974","Acanthurus achilles"
"1975","Thalassoma duperrey"
"1976","Ctenochaetus hawaiiensis"
"1977","Naso lituratus"
"1978","Centropyge loriculus"
"1979","Canthigaster jactator"
"1980","Diodon holocanthus"
"1981","Arothron meleagris"
"1982","Diodon hystrix"
"1983","Furina ornata"
"1984","Boiga irregularis"
"1985","Galerida cristata"
"1986","Podarcis filfolensis"
"1987","Myiopsitta monachus"
"1988","Rastrineobola argentea"
"1989","Drymarchon couperi"
"1990","Gyrinophilus porphyriticus"
"1991","Hypotaenidia sylvestris"
"1992","Acipenser gueldenstaedtii"
"1993","Pterodroma cahow"
"1994","Charadrius ruficapillus"
"1995","Litoria rothii"
"1996","Ardeola bacchus"
"1997","Megascops asio"
"1998","Aechmophorus occidentalis"
"1999","Calidris virgata"
"2000","Arenaria melanocephala"
"2001","Larus thayeri"
"2002","Ambystoma macrodactylum"
"2003","Cyprinodon bovinus"
"2004","Myotis lucifugus"
"2005","Myotis septentrionalis"
"2006","Lasionycteris noctivagans"
"2007","Lasiurus cinereus"
"2008","Lasiurus borealis"
"2009","Melanitta americana"
"2010","Emberiza pusilla"
"2011","Acipenser ruthenus"
"2012","Thalassarche chlororhynchos"
"2013","Tantilla nigriceps"
"2014","Arothron hispidus"
"2015","Morelia spilota"
"2016","Pseudemys peninsularis"
"2017","Pseudemys nelsoni"
"2018","Sternotherus minor"
"2019","Sternotherus odoratus"
"2020","Heterodon nasicus"
"2021","Rena dissectus"
"2022","Coluber constrictor"
"2023","Pituophis catenifer"
"2024","Thamnophis sirtalis"
"2025","Crotalus viridis"
"2026","Crotalus atrox"
"2027","Coluber flagellum"
"2028","Thamnophis marcianus"
"2029","Arizona elegans"
"2030","Thamnophis elegans"
"2031","Tautogolabrus adspersus"
"2032","Mixophyes fleayi"
"2033","Moxostoma anisurum"
"2034","Moxostoma macrolepidotum"
"2035","Moxostoma valenciennesi"
"2036","Moxostoma carinatum"
"2037","Ictalurus punctatus"
"2038","Phalacrocorax penicillatus"
"2039","Atherinosoma microstoma"
"2040","Diomedea dabbenena"
"2041","Hexanchus griseus"
"2042","Misgurnus anguillicaudatus"
"2043","Lynx pardinus"
"2044","Trichechus manatus"
"2045","Notropis atherinoides"
"2046","Sotalia fluviatilis"
"2047","Uma inornata"
"2048","Phrynosoma mcallii"
"2049","Crotalus cerastes"
"2050","Gillichthys mirabilis"
"2051","Lacerta bilineata"
"2052","Podarcis muralis"
"2053","Zootoca vivipara"
"2054","Hydrolagus colliei"
"2055","Dipsosaurus dorsalis"
"2056","Callisaurus draconoides"
"2057","Chionactis occipitalis"
"2058","Calidris pygmaea"
"2059","Myoxocephalus jaok"
"2060","Myoxocephalus polyacanthocephalus"
"2061","Hemitripterus bolini"
"2062","Hemilepidotus jordani"
"2063","Myoxocephalus verrucosus"
"2064","Emydocephalus annulatus"
"2065","Lialis burtonis"
"2066","Chlamydosaurus kingii"
"2067","Canis aureus"
"2068","Patagonotothen ramsayi"
"2069","Caprimulgus longipennis"
"2070","Couesius plumbeus"
"2071","Anas laysanensis"
"2072","Scomberomorus niphonius"
"2073","Polysteganus praeorbitalis"
"2074","Hemiodus orthonops"
